Subject	SelectionOrderAtt	ImId	correctVariant(s)	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
01-005-P2 OBI	0	1	MasterImage	"3,-1,"	"895.7,895.867,898.533,"	-1
01-005-P2 OBI	0	2	incorrect	"1,-1,"	"897.267,"	-1
01-005-P2 OBI	0	3	incorrect	"1,-1,"	"896.967,"	-1
01-005-P2 OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	5	incorrect	"1,-1,"	"897.467,"	-1
01-005-P2 OBI	0	6	incorrect	"3,-1,"	"895.133,895.5,897.8,"	-1
01-005-P2 OBI	1	7	correct	"5,-1,"	"898.067,898.867,899.5,899.867,900.033,"	6.4
01-005-P2 OBI	0	1	MasterImage	"11,-1,"	"903.1,904.233,904.833,906.533,908.633,910.133,911.9,912.267,914.1,917.633,920.133,"	-1
01-005-P2 OBI	0	2	incorrect	"1,-1,"	"909.1,"	-1
01-005-P2 OBI	1	3	correct	"10,-1,"	"904.5,905.533,907.833,909.7,913.133,914.867,917.3,918.433,920.7,920.867,"	21.7667
01-005-P2 OBI	0	4	incorrect	"2,-1,"	"910.567,912.533,"	-1
01-005-P2 OBI	0	5	incorrect	"1,-1,"	"922.4,"	-1
01-005-P2 OBI	0	6	incorrect	"2,-1,"	"915.667,919.067,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"902.533,"	-1
01-005-P2 OBI	0	1	MasterImage	"7,-1,"	"926.033,927.333,928.567,930.767,932.2,932.6,934.267,"	-1
01-005-P2 OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	3	incorrect	"3,-1,"	"925.867,926.667,926.9,"	-1
01-005-P2 OBI	0	4	incorrect	"2,-1,"	"927.767,929.3,"	-1
01-005-P2 OBI	0	5	incorrect	"2,-1,"	"925.3,933.033,"	-1
01-005-P2 OBI	0	6	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	1	7	correct	"4,-1,"	"929.8,931.467,934.767,935.533,"	11.8
01-005-P2 OBI	0	1	MasterImage	"7,-1,"	"938.7,939,940.667,941.767,943.067,944.6,945.767,"	-1
01-005-P2 OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	3	incorrect	"3,-1,"	"938.5,940,941.2,"	-1
01-005-P2 OBI	1	4	correct	"6,-1,"	"942.3,943.767,943.933,944.133,945.233,946.333,"	11.1
01-005-P2 OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	6	incorrect	"2,-1,"	"947.133,947.3,"	-1
01-005-P2 OBI	0	7	incorrect	"2,-1,"	"938.1,946.967,"	-1
01-005-P2 OBI	0	1	MasterImage	"8,-1,"	"950.9,952.467,953.4,959.467,961.333,961.933,963.6,963.867,"	-1
01-005-P2 OBI	0	2	incorrect	"3,-1,"	"955.5,958.533,960.1,"	-1
01-005-P2 OBI	0	3	incorrect	"2,-1,"	"952.8,953.933,"	-1
01-005-P2 OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	1	5	correct	"6,-1,"	"955.1,956.333,960.667,962.733,964.5,965.6,"	17.6
01-005-P2 OBI	0	6	incorrect	"5,-1,"	"950.2,950.567,954.5,965.9,966.167,"	-1
01-005-P2 OBI	0	7	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	1	MasterImage	"7,-1,"	"969.7,970.633,971.667,971.967,972.167,973.8,974,"	-1
01-005-P2 OBI	1	2	correct	"3,-1,"	"974.367,974.933,975.167,"	8.6
01-005-P2 OBI	0	3	incorrect	"1,-1,"	"970.233,"	-1
01-005-P2 OBI	0	4	incorrect	"3,-1,"	"971,971.167,972.467,"	-1
01-005-P2 OBI	0	5	incorrect	"2,-1,"	"975.667,975.9,"	-1
01-005-P2 OBI	0	6	incorrect	"1,-1,"	"968.8,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"972.967,"	-1
01-005-P2 OBI	0	1	MasterImage	"5,-1,"	"978.933,981.667,982.2,983.667,985.267,"	-1
01-005-P2 OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	1	3	correct	"5,-1,"	"980.867,982.367,984.233,986.1,986.367,"	9.73333
01-005-P2 OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	5	incorrect	"3,-1,"	"978.4,986.633,986.8,"	-1
01-005-P2 OBI	0	6	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	7	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	1	MasterImage	"3,-1,"	"989.667,991.1,993.233,"	-1
01-005-P2 OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	3	incorrect	"3,-1,"	"989.5,990.433,992.133,"	-1
01-005-P2 OBI	0	4	incorrect	"2,-1,"	"993.933,994.133,"	-1
01-005-P2 OBI	0	5	incorrect	"1,-1,"	"989.167,"	-1
01-005-P2 OBI	0	6	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	1	7	correct	"4,-1,"	"994.567,995.167,996.4,996.6,"	8.93333
01-005-P2 OBI	0	1	MasterImage	"8,3,-1,"	"999.867,1001.37,1001.53,1004.23,1005.9,1006.07,1007.2,1007.4,1013.33,1016.8,1019.27,"	-1
01-005-P2 OBI	1	2	incorrect	"6,3,-1,"	"1003.63,1005.07,1005.43,1006.6,1007.8,1008.53,1012.37,1015.2,1018.3,"	11.2334
01-005-P2 OBI	0	3	incorrect	"3,-1,-1,"	"999.5,1000.8,1002.7,"	-1
01-005-P2 OBI	0	4	incorrect	"-1,-1,-1,"	-1	-1
01-005-P2 OBI	2	5	correct	"1,10,-1,"	"1008.87,1010.93,1011.7,1012.93,1014.6,1016,1016.23,1017.47,1020.03,1020.27,1020.77,"	-1
01-005-P2 OBI	0	6	incorrect	"-1,2,-1,"	"1021.47,1021.63,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,-1,"	"999.133,"	-1
01-005-P2 OBI	0	1	MasterImage	"13,-1,-1,"	"1025.23,1027.4,1027.8,1028.47,1029.7,1029.87,1033.4,1035.13,1037.8,1043.97,1045.6,1048.83,1049.03,"	-1
01-005-P2 OBI	2	2	correct	"14,1,-1,"	"1030.5,1031.5,1031.73,1033.03,1034.03,1035.63,1037.03,1037.2,1039.73,1040.93,1041.23,1042.23,1050.9,1051.2,1055.43,"	-1
01-005-P2 OBI	1	3	incorrect	"23,-1,-1,"	"1024.97,1026.67,1027.2,1028.07,1029.07,1029.47,1030.23,1031.9,1032.2,1032.43,1034.37,1037.4,1039.33,1041.77,1043,1043.2,1045,1046.4,1049.67,1050.47,1052.4,1052.63,1052.93,"	30.5333
01-005-P2 OBI	0	4	incorrect	"6,-1,-1,"	"1038.2,1046.87,1047.6,1048.03,1048.43,1050,"	-1
01-005-P2 OBI	0	5	incorrect	"3,1,-1,"	"1036.2,1036.77,1053.47,1055.77,"	-1
01-005-P2 OBI	0	6	incorrect	"1,-1,-1,"	"1024.47,"	-1
01-005-P2 OBI	0	7	incorrect	"-1,-1,-1,"	-1	-1
01-005-P2 OBI	0	1	MasterImage	"16,-1,"	"1059.5,1060.17,1060.73,1061.83,1062.93,1063.93,1065.33,1066.53,1067.53,1069.77,1071.73,1072.53,1073.4,1074.87,1076.57,1084.03,"	-1
01-005-P2 OBI	0	2	incorrect	"2,-1,"	"1068.13,1068.53,"	-1
01-005-P2 OBI	0	3	incorrect	"13,-1,"	"1060.4,1061.37,1062.3,1063.47,1064.67,1065.9,1069.33,1069.57,1070.17,1071.33,1072.17,1072.93,1083.87,"	-1
01-005-P2 OBI	0	4	incorrect	"5,-1,"	"1070.53,1071.1,1073.97,1074.2,1075.47,"	-1
01-005-P2 OBI	0	5	incorrect	"2,-1,"	"1058.5,1068.8,"	-1
01-005-P2 OBI	1	6	correct	"7,-1,"	"1078.13,1080.17,1080.37,1082.1,1083.47,1084.6,1085.4,"	29.1
01-005-P2 OBI	0	7	incorrect	"6,-1,"	"1075.97,1077.17,1079.4,1081,1082.87,1085.6,"	-1
01-005-P2 OBI	0	1	MasterImage	"14,-1,"	"1089.13,1089.6,1091.1,1091.47,1092.73,1094.4,1094.8,1096.13,1099.43,1099.67,1102.57,1103.63,1106.53,1106.7,"	-1
01-005-P2 OBI	0	2	incorrect	"3,-1,"	"1097.27,1097.73,1100.9,"	-1
01-005-P2 OBI	1	3	correct	"10,-1,"	"1091.67,1091.93,1093.63,1095.47,1096.57,1098.8,1100.3,1103.07,1104.3,1107.43,"	22.4667
01-005-P2 OBI	0	4	incorrect	"2,-1,"	"1104.63,1104.8,"	-1
01-005-P2 OBI	0	5	incorrect	"2,-1,"	"1101.37,1108.27,"	-1
01-005-P2 OBI	0	6	incorrect	"2,-1,"	"1101.9,1102.07,"	-1
01-005-P2 OBI	0	7	incorrect	"4,-1,"	"1105.2,1106.1,1106.3,1107.1,"	-1
01-005-P2 OBI	0	1	MasterImage	"7,-1,"	"1112.67,1114.7,1116.6,1119.63,1119.87,1122.27,1122.43,"	-1
01-005-P2 OBI	0	2	incorrect	"1,-1,"	"1116,"	-1
01-005-P2 OBI	0	3	incorrect	"2,-1,"	"1114.27,1115.5,"	-1
01-005-P2 OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	5	incorrect	"3,-1,"	"1112.1,1117.43,1117.6,"	-1
01-005-P2 OBI	0	6	incorrect	"2,-1,"	"1118.2,1120.33,"	-1
01-005-P2 OBI	1	7	correct	"3,-1,"	"1120.8,1123,1123.8,"	13.3
01-005-P2 OBI	0	1	MasterImage	"6,-1,"	"1126.87,1127.07,1128.03,1129.57,1131.67,1133.37,"	-1
01-005-P2 OBI	0	2	incorrect	"1,-1,"	"1135.27,"	-1
01-005-P2 OBI	0	3	incorrect	"2,-1,"	"1127.57,1128.47,"	-1
01-005-P2 OBI	1	4	correct	"6,-1,"	"1128.73,1130.23,1130.4,1130.9,1132.4,1136.1,"	13.2667
01-005-P2 OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	6	incorrect	"1,-1,"	"1137.5,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"1126.4,"	-1
01-005-P2 OBI	0	1	MasterImage	"11,-1,-1,-1,-1,"	"1141.1,1141.27,1142.43,1144.83,1147.1,1147.4,1149.07,1149.33,1151.23,1153,1154.47,"	-1
01-005-P2 OBI	2	2	incorrect	"8,1,-1,-1,-1,"	"1148.07,1148.3,1148.73,1149.83,1150.1,1151.93,1153.67,1154.17,1158.23,"	-1
01-005-P2 OBI	3	3	incorrect	"2,-1,-1,-1,-1,"	"1141.7,1142,"	-1
01-005-P2 OBI	0	4	incorrect	"1,-1,-1,-1,-1,"	"1142.97,"	-1
01-005-P2 OBI	4	5	correct	"4,1,1,3,-1,"	"1146.5,1150.33,1152.43,1153.83,1158.6,1160.87,1163.6,1163.93,1164.13,"	-1
01-005-P2 OBI	0	6	incorrect	"3,-1,-1,1,-1,"	"1140.67,1143.83,1145.27,1164.6,"	-1
01-005-P2 OBI	1	7	incorrect	"6,-1,-1,-1,-1,"	"1143.5,1144.43,1145.6,1155.03,1155.83,1156.03,"	16.8666
01-005-P2 OBI	0	1	MasterImage	"13,-1,"	"1168.37,1170.63,1170.83,1171.53,1172.73,1173.17,1174.17,1174.93,1177.63,1179.43,1182.1,1184.47,1184.63,"	-1
01-005-P2 OBI	1	2	correct	"8,-1,"	"1171.87,1172.33,1173.5,1175.13,1178.63,1180.17,1181.77,1186.27,"	21.5
01-005-P2 OBI	0	3	incorrect	"3,1,"	"1170.13,1171.03,1178.1,1189.6,"	-1
01-005-P2 OBI	0	4	incorrect	"4,-1,"	"1182.8,1183.63,1184,1185.4,"	-1
01-005-P2 OBI	0	5	incorrect	"4,-1,"	"1175.93,1176.17,1187.43,1187.6,"	-1
01-005-P2 OBI	0	6	incorrect	"6,-1,"	"1167.6,1168,1176.6,1177.27,1180.5,1180.83,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"1177.07,"	-1
01-005-P2 OBI	0	1	MasterImage	"8,-1,"	"1190.53,1191.63,1192.13,1192.77,1193.83,1195.77,1196.23,1202.33,"	-1
01-005-P2 OBI	0	2	incorrect	"2,-1,"	"1197.3,1198.63,"	-1
01-005-P2 OBI	0	3	incorrect	"3,-1,"	"1190.13,1191.27,1192.33,"	-1
01-005-P2 OBI	0	4	incorrect	"5,-1,"	"1193.13,1193.47,1194.93,1196.8,1196.97,"	-1
01-005-P2 OBI	0	5	incorrect	"3,-1,"	"1197.83,1198.23,1200.4,"	-1
01-005-P2 OBI	1	6	correct	"7,-1,"	"1199.4,1199.73,1201.03,1201.23,1201.5,1202.87,1203.23,"	15.5333
01-005-P2 OBI	0	7	incorrect	"3,-1,"	"1201.7,1201.97,1203.6,"	-1
01-005-P2 OBI	0	1	MasterImage	"6,3,5,-1,-1,"	"1207.13,1207.37,1208.47,1213.1,1213.7,1215.4,1222,1224.1,1225.57,1230.93,1231.23,1232.97,1237.57,1237.73,"	-1
